date,event,position_key,entry_price,exit_price,quantity,pnl
2020-02-26,early_exit,SPY_308P_20200325,4.0600000000000005,7.575,4,1405.9999999999998
2020-02-26,early_exit,SPY_309P_20200325,4.26,7.959999999999999,4,1479.9999999999998
2020-03-25,early_exit,SPY_234C_20200422,8.77,24.035,-4,-6106.0
2020-03-25,early_exit,SPY_233C_20200422,9.21,24.715,-4,-6202.0
2020-03-25,early_exit,SPY_232C_20200422,9.665,25.405,-4,-6296.000000000001
2020-03-25,early_exit,SPY_231C_20200422,10.125,26.1,-4,-6390.000000000001
2020-03-25,early_exit,SPY_230C_20200422,10.600000000000001,26.805,-4,-6481.999999999999
2020-03-25,early_exit,SPY_229C_20200422,11.085,27.515,-2,-3286.0
2020-04-09,early_exit,SPY_259C_20200424,10.245000000000001,22.509999999999998,-4,-4905.999999999999
2020-04-09,early_exit,SPY_258C_20200424,10.69,23.33,-4,-5055.999999999999
2020-04-09,early_exit,SPY_258C_20200501,8.015,24.86,-3,-5053.5
2020-04-14,early_exit,SPY_271C_20200429,9.33,17.23,-4,-3160.0
2020-04-14,early_exit,SPY_270C_20200429,9.835,18.025,-4,-3275.999999999999
2020-04-14,early_exit,SPY_269C_20200429,10.35,18.835,-4,-3394.0000000000005
2020-04-14,early_exit,SPY_268C_20200429,10.89,19.65,-4,-3503.999999999999
2020-04-14,early_exit,SPY_267C_20200429,11.425,20.485,-4,-3623.9999999999995
2020-04-14,early_exit,SPY_266C_20200429,11.98,21.32,-4,-3736.0
2020-04-14,early_exit,SPY_265C_20200429,12.545000000000002,22.16,-4,-3845.9999999999995
2020-04-17,early_exit,SPY_275C_20200506,6.135,16.975,-4,-4336.000000000001
2020-04-17,early_exit,SPY_272C_20200506,7.57,19.345,-3,-3532.4999999999995
2020-04-29,early_exit,SPY_287C_20200515,6.52,11.29,-4,-1907.9999999999998
2020-04-29,early_exit,SPY_286C_20200515,6.995,12.059999999999999,-4,-2025.9999999999995
2020-04-29,early_exit,SPY_285C_20200515,7.48,12.850000000000001,-4,-2148.0000000000005
2020-04-29,early_exit,SPY_284C_20200515,7.994999999999999,13.64,-1,-564.5000000000001
2020-05-08,early_exit,SPY_289C_20200515,5.635,6.220000000000001,-4,-234.00000000000034
2020-05-08,early_exit,SPY_288C_20200515,6.07,6.98,-4,-364.00000000000006
2020-05-11,early_exit,SPY_290C_20200515,5.215,4.545,-4,268.0
2020-05-18,early_exit,SPY_293C_20200522,4.675,4.535,-4,55.99999999999987
2020-05-18,early_exit,SPY_292C_20200522,5.07,5.215,-4,-57.99999999999983
2020-05-18,early_exit,SPY_291C_20200522,5.515,5.9399999999999995,-4,-169.99999999999994
2020-05-26,early_exit,SPY_297C_20200603,2.9699999999999998,5.545,-4,-1030.0
2020-05-26,early_exit,SPY_296C_20200603,3.33,6.25,-1,-292.0
2020-05-28,early_exit,SPY_305C_20200617,3.325,5.975,-4,-1059.9999999999998
2020-05-28,early_exit,SPY_304C_20200617,3.7,6.575,-4,-1150.0
2020-05-29,early_exit,SPY_306C_20200610,1.77,4.585,-1,-281.5
2020-05-29,early_exit,SPY_306C_20200617,2.98,6.015000000000001,-4,-1214.0000000000002
2020-06-01,early_exit,SPY_307C_20200610,1.53,3.73,-4,-880.0000000000001
2020-06-01,early_exit,SPY_307C_20200617,2.66,5.18,-4,-1007.9999999999998
2020-06-03,early_exit,SPY_309C_20200617,2.0949999999999998,6.895,-4,-1920.0
2020-06-03,early_exit,SPY_308C_20200617,2.3600000000000003,7.585,-4,-2090.0
2020-06-03,early_exit,SPY_311C_20200619,2.03,5.855,-4,-1530.0000000000002
