date,event,position_key,entry_price,exit_price,quantity,pnl
2020-02-24,early_exit,SPY_325P_20200320,1.73,8.8,4,2828.0
2020-02-25,early_exit,SPY_322P_20200320,1.4049999999999998,12.815000000000001,4,4564.000000000001
2020-02-25,early_exit,SPY_323P_20200320,1.505,13.440000000000001,4,4774.000000000001
2020-02-25,early_exit,SPY_324P_20200320,1.61,14.09,4,4992.0
2020-03-03,early_exit,SPY_308P_20200325,4.0600000000000005,14.32,4,4104.0
2020-03-03,early_exit,SPY_309P_20200325,4.26,14.844999999999999,4,4234.0
2020-03-03,early_exit,SPY_310P_20200325,4.475,15.395,4,4368.0
2020-03-03,early_exit,SPY_311P_20200325,4.6899999999999995,15.79,4,4440.0
2020-03-03,early_exit,SPY_312P_20200325,4.93,16.560000000000002,4,4652.000000000001
2020-03-09,early_exit,SPY_296P_20200327,4.32,25.4,4,8432.0
2020-03-09,early_exit,SPY_297P_20200327,4.545,26.085,4,8616.0
2020-03-09,early_exit,SPY_298P_20200327,4.725,26.445,8,17376.0
2020-03-09,early_exit,SPY_298P_20200403,6.1,27.72,4,8647.999999999998
2020-03-12,early_exit,SPY_270P_20200408,13.92,31.665,4,7097.999999999999
2020-03-12,early_exit,SPY_271P_20200408,14.315000000000001,32.25,4,7173.999999999999
2020-03-12,early_exit,SPY_272P_20200408,14.7,32.85,4,7260.000000000001
2020-03-12,early_exit,SPY_273P_20200408,15.100000000000001,33.459999999999994,4,7343.999999999997
2020-03-12,early_exit,SPY_274P_20200409,10.2,34.32,4,9648.0
2020-03-12,early_exit,SPY_275P_20200409,10.5,34.94,4,9776.0
2020-03-12,early_exit,SPY_276P_20200409,10.82,35.575,4,9902.000000000002
2020-03-18,early_exit,SPY_265P_20200408,12.094999999999999,30.619999999999997,4,7409.999999999999
2020-03-20,early_exit,SPY_230P_20200415,16.875,15.030000000000001,4,-737.9999999999995
2020-03-20,early_exit,SPY_251C_20200415,15.875,4.71,4,-4466.0
2020-03-20,early_exit,SPY_250C_20200415,16.380000000000003,5.035,4,-4538.000000000001
2020-03-20,early_exit,SPY_249C_20200415,16.89,5.375,4,-4606.0
2020-03-20,early_exit,SPY_235P_20200415,18.845,17.295,4,-619.9999999999989
2020-03-20,early_exit,SPY_230P_20200417,16.29,15.55,4,-295.9999999999994
2020-03-23,early_exit,SPY_228P_20200417,15.58,16.130000000000003,4,220.000000000001
2020-03-23,early_exit,SPY_229P_20200417,15.934999999999999,16.630000000000003,4,278.00000000000153
2020-04-02,early_exit,SPY_249P_20200429,10.5,11.44,4,375.9999999999998
2020-04-02,early_exit,SPY_250P_20200429,10.79,11.805,4,406.0000000000002
2020-04-02,early_exit,SPY_251P_20200429,11.085,12.18,4,437.99999999999955
2020-04-02,early_exit,SPY_252P_20200429,11.385000000000002,12.555,4,467.99999999999926
2020-04-02,early_exit,SPY_236P_20200501,11.504999999999999,8.05,4,-1381.9999999999993
2020-04-02,early_exit,SPY_237P_20200501,11.835,8.309999999999999,4,-1410.000000000001
2020-04-02,early_exit,SPY_238P_20200501,12.175,8.58,4,-1438.0000000000002
2020-04-02,early_exit,SPY_239P_20200501,12.524999999999999,8.86,4,-1465.9999999999995
2020-04-02,early_exit,SPY_240P_20200501,12.885000000000002,9.145,4,-1496.000000000001
2020-04-03,early_exit,SPY_234P_20200501,10.855,7.199999999999999,4,-1462.0000000000005
2020-04-03,early_exit,SPY_235P_20200501,11.175,7.46,4,-1486.0000000000002
2020-05-21,early_exit,SPY_307C_20200610,1.53,1.42,-4,44.00000000000004
2020-06-12,early_exit,SPY_304P_20200710,4.5600000000000005,10.815000000000001,4,2502.0000000000005
2020-06-12,early_exit,SPY_305P_20200710,4.765000000000001,11.235,1,646.9999999999999
2020-09-18,early_exit,SPY_326P_20200923,2.95,1.275,1,-167.50000000000003
2020-09-18,early_exit,SPY_332P_20200930,3.685,5.26,4,629.9999999999999
2020-09-18,early_exit,SPY_333P_20200930,3.84,5.725,3,565.4999999999999
2020-09-18,early_exit,SPY_329P_20201009,5.905,5.9,4,-1.9999999999999574
2020-09-18,early_exit,SPY_328P_20201014,5.390000000000001,6.195,4,321.9999999999999
2020-09-23,early_exit,SPY_325P_20201009,4.975,7.51,4,1014.0
2020-09-23,early_exit,SPY_325P_20201014,4.66,8.295,4,1454.0
2020-09-23,early_exit,SPY_324P_20201016,4.390000000000001,8.370000000000001,4,1592.0000000000002
2020-09-24,early_exit,SPY_322P_20201016,4.01,7.08,4,1228.0
2020-09-24,early_exit,SPY_323P_20201016,4.195,7.465,4,1307.9999999999998
2020-10-30,early_exit,SPY_335P_20201125,9.49,15.28,4,2315.9999999999995
2020-11-04,early_exit,SPY_342C_20201127,5.47,9.305,4,1534.0
2021-03-02,early_exit,SPY_412C_20210319,0.6,0.125,-4,190.0
2021-03-04,early_exit,SPY_379P_20210310,4.205,6.01,3,541.4999999999999
2021-03-24,early_exit,SPY_380P_20210414,3.17,3.69,2,104.0
2021-03-29,early_exit,SPY_406C_20210423,0.815,2.02,-2,-241.0
2021-03-29,early_exit,SPY_405C_20210423,0.9450000000000001,2.31,-2,-273.0
2021-04-05,early_exit,SPY_410C_20210421,0.79,2.73,-4,-776.0
2021-07-12,early_exit,SPY_435C_20210721,0.73,4.135,-4,-1362.0
2021-07-26,early_exit,SPY_442C_20210818,0.8200000000000001,4.710000000000001,-2,-778.0000000000001
2021-10-04,early_exit,SPY_456C_20211029,0.59,0.26,-4,131.99999999999997
2021-10-25,early_exit,SPY_456C_20211110,0.46499999999999997,3.8600000000000003,-4,-1358.0000000000002
2021-10-25,early_exit,SPY_455C_20211110,0.56,4.455,-4,-1558.0
2021-10-25,early_exit,SPY_454C_20211110,0.6799999999999999,5.1,-4,-1768.0
2021-10-25,early_exit,SPY_456C_20211112,0.46499999999999997,4.24,-4,-1510.0000000000002
2021-10-25,early_exit,SPY_455C_20211112,0.545,4.85,-2,-861.0
2021-11-08,early_exit,SPY_468C_20211117,0.33999999999999997,3.685,-4,-1338.0
2021-12-07,early_exit,SPY_480C_20220105,1.0550000000000002,2.3899999999999997,-4,-533.9999999999998
2021-12-07,early_exit,SPY_479C_20220105,1.2,2.71,-4,-604.0
2021-12-20,early_exit,SPY_481C_20220105,0.925,0.21000000000000002,-4,286.00000000000006
2021-12-20,early_exit,SPY_494C_20220114,0.45499999999999996,0.135,-2,63.99999999999999
2022-01-19,early_exit,SPY_455P_20220128,2.4050000000000002,7.699999999999999,4,2117.9999999999995
2022-01-20,early_exit,SPY_454P_20220128,2.3049999999999997,10.675,4,3348.0000000000005
2022-01-20,early_exit,SPY_448P_20220211,2.7099999999999995,10.760000000000002,3,2415.0000000000005
2022-01-21,early_exit,SPY_444P_20220209,3.3200000000000003,13.075,4,3901.9999999999995
2022-02-03,early_exit,SPY_480C_20220304,0.69,0.45999999999999996,-4,92.0
2022-02-22,early_exit,SPY_428P_20220302,4.96,5.505000000000001,1,54.500000000000085
2022-03-11,early_exit,SPY_418P_20220330,7.22,9.965,4,1098.0
2022-03-11,early_exit,SPY_420P_20220330,7.695,10.815,4,1247.9999999999998
2022-04-27,early_exit,SPY_418P_20220511,4.45,9.115,2,933.0
2022-04-27,early_exit,SPY_423P_20220520,3.295,13.34,2,2009.0
2022-05-05,early_exit,SPY_435C_20220601,3.56,3.2350000000000003,-4,129.9999999999999
2022-05-05,early_exit,SPY_434C_20220601,3.86,3.5250000000000004,-4,133.9999999999998
2022-05-05,early_exit,SPY_445C_20220603,3.33,1.415,-4,766.0
2022-05-05,early_exit,SPY_444C_20220603,3.6399999999999997,1.57,-2,413.9999999999999
2022-05-19,early_exit,SPY_374P_20220617,7.13,6.734999999999999,4,-158.00000000000017
2022-05-19,early_exit,SPY_375P_20220617,7.41,7.015000000000001,4,-157.99999999999983
2022-05-19,early_exit,SPY_376P_20220617,7.695,7.305,4,-156.00000000000023
2022-05-19,early_exit,SPY_377P_20220617,7.995,7.605,4,-155.9999999999999
2022-06-10,early_exit,SPY_393P_20220630,5.35,11.34,4,2396.0
2022-06-10,early_exit,SPY_394P_20220630,5.585,11.86,4,2510.0
2022-06-10,early_exit,SPY_395P_20220630,5.824999999999999,12.39,4,2626.0000000000005
2022-06-10,early_exit,SPY_396P_20220630,6.074999999999999,12.945,4,2748.0000000000005
2022-06-10,early_exit,SPY_397P_20220630,6.335,13.515,4,2872.0000000000005
2022-06-10,early_exit,SPY_398P_20220630,6.605,14.095,4,2996.0
2022-06-10,early_exit,SPY_399P_20220630,6.885,14.71,4,3130.0000000000005
