date,equity,cash,num_positions
2023-12-12,199994.04207657158,202966.27986144487,20
2023-12-13,200099.24523942688,201216.2088414406,20
2023-12-14,200109.21045827505,201207.38657717666,20
2023-12-15,200290.99660279517,201621.17474876225,19
2023-12-18,200340.98526803235,202099.98913283416,19
2023-12-19,200502.46852135667,202708.38036872813,19
2023-12-20,200480.45951429455,211108.42516827938,19
2023-12-21,200913.36156229943,212842.35137627684,18
2023-12-22,201226.0956435409,404817.6131231511,17
2023-12-26,200241.60240721644,267358.34747940244,18
2023-12-27,200172.66584947053,223778.56379926886,19
2023-12-28,200550.4370687041,229951.16589701636,17
2023-12-29,200933.23692434878,238560.45281055957,18
2024-01-02,201175.96065825512,214166.88939425096,19
2024-01-03,201182.62370065114,230295.40379440712,19
2024-01-04,201420.7592440971,231006.10621951916,19
2024-01-05,202089.80290997864,248990.2837170211,17
2024-01-08,201876.40221428496,208195.24189438022,19
2024-01-09,202006.30710566003,210600.79062973996,19
2024-01-10,202089.2632864801,207476.01075001314,19
2024-01-11,202345.49562222508,209623.80115200314,18
2024-01-12,202843.80240249683,214378.52700741598,19
2024-01-16,202912.59729600538,205733.00686029217,19
2024-01-17,202968.78248669067,206787.96681888748,19
2024-01-18,203057.5774856394,204989.06086781705,19
2024-01-19,203671.44819489724,229997.5919582681,19
2024-01-22,204107.95577023845,213949.2344159667,17
2024-01-23,204360.90009905046,211320.88582562847,18
2024-01-24,204426.76473938598,210042.57772916876,18
2024-01-25,204527.24322563724,206752.32595940385,19
2024-01-26,204823.0208642437,208725.71567455214,19
2024-01-29,204859.23460076115,206337.1342915205,19
2024-01-30,204859.2607468989,206276.62732442195,19
2024-01-31,205195.23047469102,207839.15246593268,19
2024-02-01,205568.29759282063,207106.01414456463,19
2024-02-02,206315.49959735328,234899.32922725158,19
2024-02-05,206542.4489629855,220427.7597022596,19
2024-02-06,206536.57250312984,212271.36799277554,19
2024-02-07,206675.4045212316,212992.21089510617,19
2024-02-08,206870.96805498586,215624.89768787732,18
2024-02-09,207235.58017182688,216549.85639704103,19
2024-02-12,207424.68257222825,209024.58813196392,17
2024-02-13,207403.55847393593,213481.71977393318,19
2024-02-14,207419.99329107272,209591.45531513897,19
2024-02-15,207783.62405100424,219005.4466968456,18
2024-02-16,208740.64400709365,256876.71470057275,15
2024-02-20,208979.590572636,233631.798299982,19
2024-02-21,209180.73563885878,223466.51022370448,19
2024-02-22,209368.66522878458,216411.29442167608,19
2024-02-23,210078.69397527378,165106.24347728214,19
2024-02-26,209718.71850127753,238256.8138655044,19
2024-02-27,209681.96437028958,226887.84251407915,19
2024-02-28,209748.9005168741,215961.90435070175,18
2024-02-29,210166.46953520196,237656.3756538985,19
2024-03-01,210390.48819133663,252496.53203025053,19
2024-03-04,210527.34012709098,229213.7063655057,19
2024-03-05,210368.98328128562,254793.83535695774,19
2024-03-06,210558.4442277838,228353.98733136314,19
2024-03-07,210648.9454797279,214789.595484581,19
2024-03-08,211211.37736567773,228430.75773062214,17
2024-03-11,211626.3721005141,214709.7359972175,16
2024-03-12,211739.6686229761,217271.68087419,19
2024-03-13,211929.72060874736,217424.80844936887,19
2024-03-14,212310.0055633664,215768.24127819116,18
2024-03-15,213426.463048787,250562.86474370642,18
2024-03-18,213602.85548148834,226917.43160346092,19
2024-03-19,213703.84296439952,218080.19585817985,19
2024-03-20,213775.42109650918,216566.47795848292,19
2024-03-21,213943.43407276864,221092.14299247245,19
2024-03-22,214504.98515962053,306931.200197486,19
2024-03-25,214967.74220401375,244259.66400509592,19
2024-03-26,215074.59890454556,240189.29178405186,19
2024-03-27,214980.3763136088,221580.24121625128,19
2024-03-28,215293.04484251546,240301.75913166458,18
2024-04-01,215526.34121394204,235673.9562241816,16
2024-04-02,215452.2070298372,255838.24835835255,18
2024-04-03,216040.06589680514,243190.75507080863,18
2024-04-04,213291.49933615947,312141.057930363,15
2024-04-05,215229.8359397361,235146.0987940078,15
2024-04-08,216065.83631216077,223216.11686235026,18
2024-04-09,216108.02668523233,219661.3441937347,18
2024-04-10,216379.12140749584,224949.0203974709,18
2024-04-11,216943.9283979627,222524.44043728433,19
2024-04-12,217793.3459523534,243186.08956931622,19
2024-04-15,217736.18625887635,243727.19334873266,19
2024-04-16,219188.81905818408,228226.82529001584,18
2024-04-17,220028.78410194063,238933.04486543665,19
2024-04-18,220539.79062832863,230878.34364831427,18
2024-04-19,221328.12647922296,353479.97559923184,17
2024-04-22,222590.4527247924,253430.8270968555,18
2024-04-23,223033.83610141836,238715.02023385832,19
2024-04-24,223027.74726276682,234027.71059738798,19
2024-04-25,223505.71393403976,232078.228641948,19
2024-04-26,224419.77373768055,250295.2321323771,19
2024-04-29,224388.9796464744,228619.21491822088,19
2024-04-30,225198.17914205667,246604.9581456376,18
2024-05-01,225862.43501224194,236983.13395732426,15
2024-05-02,225877.53644060993,223955.83215294126,17
2024-05-03,227779.1170781588,222717.13710681244,7
2024-05-06,227897.89167379832,456007.9051515069,17
2024-05-07,227750.2468324623,450371.00854771247,17
2024-05-08,227752.95129666908,453461.4322437598,18
2024-05-09,226466.14951546444,523311.9833071518,18
2024-05-10,226076.72922735725,508374.4361082936,18
2024-05-13,225553.38635146743,268898.5267317957,19
2024-05-14,225299.0655006261,235837.66378983555,19
2024-05-15,225788.51845028924,431630.5277623012,19
2024-05-16,226466.6957123267,446146.84246036375,17
2024-05-17,226447.23800112965,451798.14155577956,13
2024-05-20,225743.72200203722,463736.0550671815,17
2024-05-21,225047.28076634643,471684.02251150546,16
2024-05-22,225650.51718544323,452770.34575864964,17
2024-05-23,227346.95356031947,454003.8462747926,18
2024-05-24,225966.8299694592,574642.3515843641,15
2024-05-28,225418.34841414035,452538.61731514183,15
2024-05-29,226790.38840952632,462952.9776000406,19
2024-05-30,228228.75644750995,352258.7227059255,19
2024-05-31,226942.65004577648,469354.60657662846,16
2024-06-03,226417.23520718273,459815.2599620907,16
2024-06-04,226070.69876082015,449340.7593981716,14
2024-06-05,224392.57224607217,713327.6127657811,12
2024-06-06,224030.71664369386,671219.7752405924,12
2024-06-07,224226.78107025538,581449.2149507392,11
2024-06-10,222841.91349401465,443423.5501417603,10
2024-06-11,221890.140534162,443080.7604257988,9
2024-06-12,220346.02566433273,563431.6803781805,9
2024-06-13,219500.90610343555,584863.9174355476,9
2024-06-14,219103.7610216734,576224.8347721527,9
2024-06-17,217316.68074378464,711105.1797241601,9
2024-06-18,216098.23416619923,769395.1494713272,9
2024-06-20,216947.35206734296,551950.5453244663,9
2024-06-21,217594.8452833178,434205.4438184211,9
2024-06-24,217749.78768359512,363230.3069431041,18
2024-06-25,217853.3737347623,372356.35001050035,19
2024-06-26,217878.04700803675,338530.45804874436,19
2024-06-27,217938.1168051128,335200.91470842366,19
2024-06-28,218172.41627980882,316497.3831915328,16
2024-07-01,218518.53654904012,272154.2624375264,16
2024-07-02,218573.60946347774,261132.38317401538,19
2024-07-03,218442.3117904052,260373.7666119086,19
2024-07-05,218522.5509599783,273180.65568690613,18
2024-07-08,218422.00218356575,223728.63858346426,19
2024-07-09,218509.25147001882,222894.08800513498,18
2024-07-10,218463.71966756097,220600.45874956413,19
2024-07-11,218741.60569677578,223147.34467795838,19
2024-07-12,219690.0919574433,250920.8426105537,18
2024-07-15,219694.83097431136,227424.86168483456,19
2024-07-16,219744.05344203574,222188.54640416033,19
2024-07-17,219794.58524378954,229862.8912814766,19
2024-07-18,219661.30757307133,240060.99384134283,18
2024-07-19,220450.44016701568,272750.89563408546,18
2024-07-22,220653.51714697655,227216.92548911943,19
2024-07-23,220893.23867739426,227578.4352924189,18
2024-07-24,217777.85049344215,404489.8648380182,17
2024-07-25,217659.62431739742,512819.6572267725,16
2024-07-26,219661.36112279602,242643.76873096664,17
2024-07-29,219953.26849147986,222545.56898139787,17
2024-07-30,219956.01420186486,222918.0687043604,19
2024-07-31,221271.11560217425,227730.97658819563,19
2024-08-01,219339.65304756357,263357.97254533705,19
2024-08-02,216560.4723417879,312269.3088190686,19
2024-08-05,182446.63532741554,1435029.3558833038,18
2024-08-06,203074.93799928273,266668.4980352591,13
2024-08-07,205242.58899814062,292536.1788284359,8
2024-08-08,205866.88778762444,273672.5449911488,19
2024-08-09,211221.85406859455,414764.8937908112,19
2024-08-12,212053.6461949955,275338.20213753294,19
2024-08-13,211925.353623039,265428.9426705389,19
2024-08-14,212131.06634017394,271240.2603587287,19
2024-08-15,212104.47661639992,424979.9373857205,17
2024-08-16,213411.5067526601,438268.1635275572,4
2024-08-19,212956.1153150755,426564.80390616355,5
2024-08-20,213291.30095598847,426713.3977857015,8
2024-08-21,212490.08237911374,422849.93310174835,8
2024-08-22,214015.28929713496,434651.3966225185,15
2024-08-23,211608.02047353773,652810.7613655372,15
2024-08-26,212304.58658349147,426219.25498238904,16
2024-08-27,211706.3715479248,421410.1423441958,14
2024-08-28,212785.23459661574,431649.2870305475,17
2024-08-29,212619.14236304522,423381.6663285209,18
2024-08-30,210554.08542718482,610449.5873868568,18
2024-09-03,218181.47818120354,241129.12378149957,19
2024-09-04,217871.65199442155,238406.52850265478,18
2024-09-05,217993.89127682996,249797.475175588,19
2024-09-06,218604.29903168726,273107.253591867,19
2024-09-09,217968.39777386934,227612.39741360332,19
2024-09-10,218240.46431861699,228741.08231700512,19
2024-09-11,219132.80601607982,236879.26870200594,18
2024-09-12,219908.33052103012,250093.03199379466,19
2024-09-13,220969.03537889986,275304.1532574414,19
2024-09-16,221420.68885434637,243371.72495590363,19
2024-09-17,221535.33399595405,240026.29126967624,18
2024-09-18,222210.89334647838,234504.97796784053,15
2024-09-19,222428.31081584285,267327.1477207532,19
2024-09-20,224209.3599279222,332090.31052646437,19
2024-09-23,224704.4722630515,266998.39887854026,19
2024-09-24,224975.82932923693,253318.05985566974,19
2024-09-25,225174.87636993194,242321.1393720048,19
2024-09-26,225201.31877501705,231643.35944013196,19
2024-09-27,225683.97713010575,237869.6452867583,19
2024-09-30,225796.1360049973,228014.08255745258,19
2024-10-01,225753.79740571376,229063.18125761976,18
2024-10-02,226026.38346714087,230879.42925640792,19
2024-10-03,226264.8007309087,229387.28825240192,17
2024-10-04,227336.51170707212,247421.13095630112,19
2024-10-07,227696.58678658344,238106.49027750813,19
2024-10-08,228418.64523848848,230163.58008205466,18
2024-10-09,228718.299641884,231111.02317766653,19
2024-10-10,229676.60545221873,250276.46750845324,19
2024-10-11,230677.6178054158,246767.22197110904,18
