date,underlying_price,day_type,historical_iv,vol_surface_iv
2023-01-20,395.8800048828125,option_trading,0.2,0.269621780944023
2023-01-23,400.6300048828125,option_trading,0.2,0.506090080405776
2023-01-25,400.3500061035156,option_trading,0.2,0.5153964602381712
2023-01-27,405.67999267578125,option_trading,0.2,0.1308402527810276
2023-01-30,400.5899963378906,option_trading,0.2,0.2143915968203495
2023-02-01,410.79998779296875,option_trading,0.2,0.1936929963541473
2023-02-03,412.3500061035156,option_trading,0.2,0.13276029280376864
2023-02-06,409.8299865722656,option_trading,0.2,0.1848166880422735
2023-02-08,410.6499938964844,option_trading,0.2,0.1871228618649347
2023-02-10,408.0400085449219,option_trading,0.2,0.18843662949338613
2023-02-13,412.8299865722656,option_trading,0.2,0.19970317322164072
2023-02-15,413.9800109863281,option_trading,0.16402833255103746,0.18783226470971567
2023-02-17,407.260009765625,option_trading,0.1653408474877943,0.11732301544398352
2023-02-20,407.260009765625,option_trading,0.1540056547686339,0.19724978183033323
2023-02-22,398.5400085449219,option_trading,0.16697370678841134,0.18332180118490227
2023-02-24,396.3800048828125,option_trading,0.16275899752430353,0.13899483151953426
2023-02-27,397.7300109863281,option_trading,0.1657130032884968,0.20038803231537916
2023-03-01,394.739990234375,option_trading,0.16588919653539477,0.20047337237970458
2023-03-03,404.19000244140625,option_trading,0.1589600262557062,0.5277977295205276
2023-03-06,404.4700012207031,option_trading,0.1565736271973604,0.2049378612163486
2023-03-08,398.9200134277344,option_trading,0.15969723662774893,0.19221484460963287
2023-03-10,385.9100036621094,option_trading,0.1650402507406114,0.21627834605043786
2023-03-13,385.3599853515625,option_trading,0.16928725752964843,0.2415395412050391
2023-03-15,389.2799987792969,option_trading,0.16761270255778063,0.2501868635059306
2023-03-17,389.989990234375,option_trading,0.1670519033331892,0.28537922221283474
2023-03-20,393.739990234375,option_trading,0.16999721773806906,0.22354914654002733
2023-03-22,392.1099853515625,option_trading,0.1728152899177179,0.22210979660873323
2023-03-24,395.75,option_trading,0.17590292048280964,0.14159613698555779
2023-03-27,396.489990234375,option_trading,0.177097029095143,0.1296370768691927
2023-03-29,401.3500061035156,option_trading,0.1730629908724942,0.1875794319345256
2023-03-31,409.3900146484375,option_trading,0.1755547758043472,0.13104838066514282
2023-04-03,410.95001220703125,option_trading,0.1804363229760204,0.10436070312748716
2023-04-05,407.6000061035156,option_trading,0.17048709627151445,0.11591020635659172
2023-04-07,409.19000244140625,option_trading,0.16689602023648784,0.16895263764671128
2023-04-10,409.6099853515625,option_trading,0.16689602023648784,0.1684283653383183
