date,event,position_key,entry_price,exit_price,quantity,pnl,num_expired
2020-03-20,expiry,SPY_355C_20200320,0.125,0.0,4.0,-50.0,
2020-03-20,expiry,SPY_354C_20200320,0.165,0.0,4.0,-66.0,
2020-03-20,expiry,SPY_353C_20200320,0.20500000000000002,0.0,4.0,-82.0,
2020-03-20,expiry,SPY_352C_20200320,0.255,0.0,4.0,-102.0,
2020-03-20,expiry,SPY_351C_20200320,0.325,0.0,4.0,-130.0,
2020-03-20,expiry,SPY_350C_20200320,0.425,0.0,4.0,-170.0,
2020-03-20,expiry,SPY_349C_20200320,0.545,0.0,2.0,-109.00000000000001,
2020-03-20,expiry,Daily Expiry PnL,,,,-709.0,7.0
2020-04-03,expiry,SPY_328C_20200403,1.7775,0.0,8.0,-1422.0,
2020-04-03,expiry,SPY_327C_20200403,1.96,0.0,4.0,-784.0,
2020-04-03,expiry,Daily Expiry PnL,,,,-2206.0,2.0
2020-05-13,expiry,SPY_262P_20200513,7.119999999999999,0.0,-4.0,2847.9999999999995,
2020-05-13,expiry,SPY_263P_20200513,7.380000000000001,0.0,-4.0,2952.0000000000005,
2020-05-13,expiry,Daily Expiry PnL,,,,5800.0,2.0
2020-05-15,expiry,SPY_264P_20200515,7.234999999999999,0.0,-4.0,2894.0,
2020-05-15,expiry,SPY_265P_20200515,7.495,0.0,-4.0,2998.0,
2020-05-15,expiry,Daily Expiry PnL,,,,5892.0,2.0
2020-05-20,expiry,SPY_268P_20200520,8.17,0.0,-4.0,3268.0,
2020-05-20,expiry,SPY_269P_20200520,8.440000000000001,0.0,-4.0,3376.0000000000005,
2020-05-20,expiry,SPY_270P_20200520,8.71,0.0,-4.0,3484.0000000000005,
2020-05-20,expiry,SPY_271P_20200520,8.995000000000001,0.0,-4.0,3598.0000000000005,
2020-05-20,expiry,SPY_272P_20200520,9.285,0.0,-4.0,3714.0,
2020-05-20,expiry,SPY_273P_20200520,9.59,0.0,-4.0,3836.0,
2020-05-20,expiry,Daily Expiry PnL,,,,21276.0,6.0
2020-05-22,expiry,SPY_266P_20200522,7.71,0.0,-3.0,2313.0,
2020-05-22,expiry,Daily Expiry PnL,,,,2313.0,1.0
2020-06-03,expiry,SPY_270P_20200603,6.08,0.0,-1.0,608.0,
2020-06-03,expiry,Daily Expiry PnL,,,,608.0,1.0
2020-06-05,expiry,SPY_271P_20200605,5.895,0.0,-1.0,589.5,
2020-06-05,expiry,Daily Expiry PnL,,,,589.5,1.0
