date,event,position_key,entry_price,exit_price,quantity,pnl,num_expired
2020-03-20,expiry,SPY_355C_20200320,0.125,0.0,4.0,-50.0,
2020-03-20,expiry,SPY_354C_20200320,0.165,0.0,4.0,-66.0,
2020-03-20,expiry,SPY_353C_20200320,0.20500000000000002,0.0,4.0,-82.0,
2020-03-20,expiry,SPY_352C_20200320,0.255,0.0,4.0,-102.0,
2020-03-20,expiry,SPY_351C_20200320,0.325,0.0,4.0,-130.0,
2020-03-20,expiry,SPY_350C_20200320,0.425,0.0,4.0,-170.0,
2020-03-20,expiry,SPY_349C_20200320,0.545,0.0,4.0,-218.00000000000003,
2020-03-20,expiry,SPY_348C_20200320,0.7,0.0,4.0,-280.0,
2020-03-20,expiry,SPY_347C_20200320,0.89,0.0,4.0,-356.0,
2020-03-20,expiry,SPY_346C_20200320,1.125,0.0,4.0,-450.0,
2020-03-20,expiry,SPY_345C_20200320,1.41,0.0,2.0,-282.0,
2020-03-20,expiry,Daily Expiry PnL,,,,-2186.0,11.0
2020-03-25,expiry,SPY_337C_20200325,0.985,0.0,4.0,-394.0,
2020-03-25,expiry,SPY_336C_20200325,1.22,0.0,4.0,-488.0,
2020-03-25,expiry,SPY_335C_20200325,1.49,0.0,2.0,-298.0,
2020-03-25,expiry,Daily Expiry PnL,,,,-1180.0,3.0
2020-03-27,expiry,SPY_327C_20200327,1.49,0.0,4.0,-596.0,
2020-03-27,expiry,SPY_326C_20200327,1.73,0.0,4.0,-692.0,
2020-03-27,expiry,SPY_325C_20200327,2.0,0.0,4.0,-800.0,
2020-03-27,expiry,Daily Expiry PnL,,,,-2088.0,3.0
2020-04-01,expiry,SPY_323C_20200401,1.77,0.0,4.0,-708.0,
2020-04-01,expiry,SPY_322C_20200401,2.045,0.0,2.0,-409.0,
2020-04-01,expiry,Daily Expiry PnL,,,,-1117.0,2.0
2020-04-03,expiry,SPY_328C_20200403,1.72,0.0,2.0,-344.0,
2020-04-03,expiry,Daily Expiry PnL,,,,-344.0,1.0
2020-04-29,expiry,SPY_249P_20200429,10.5,0.0,1.0,-1050.0,
2020-04-29,expiry,Daily Expiry PnL,,,,-1050.0,1.0
2020-05-15,expiry,SPY_291C_20200515,4.8149999999999995,0.0,4.0,-1925.9999999999998,
2020-05-15,expiry,Daily Expiry PnL,,,,-1925.9999999999998,1.0
2020-05-29,expiry,SPY_307C_20200529,2.63,0.0,4.0,-1052.0,
2020-05-29,expiry,SPY_306C_20200529,2.95,0.0,4.0,-1180.0,
