date,underlying_price,day_type,historical_iv,vol_surface_iv,GARCH_iv
2023-02-22,398.5400085449219,option_trading,0.16697370678841134,0.18381038432893157,0.16980747153018075
2023-02-24,396.3800048828125,option_trading,0.16275899752430353,0.19520652404692734,0.1625627244185145
2023-02-27,397.7300109863281,option_trading,0.1657130032884968,0.20135470337509936,0.1631962945210987
2023-03-01,394.739990234375,option_trading,0.16588919653539477,0.2023260044235,0.13764558167979668
2023-03-03,404.19000244140625,option_trading,0.1589600262557062,0.1993104567377478,0.1271552266585391
2023-03-06,404.4700012207031,option_trading,0.1565736271973604,0.2411780541986825,0.14277417181860105
2023-03-08,398.9200134277344,option_trading,0.15969723662774893,0.19013317416768366,0.15577372393122968
2023-03-10,385.9100036621094,option_trading,0.1650402507406114,0.1917797876134394,0.16288814559808773
2023-03-13,385.3599853515625,option_trading,0.16928725752964843,0.2391044693603968,0.16521398451117006
2023-03-15,389.2799987792969,option_trading,0.16761270255778063,0.2473557821816456,0.16655842679891408
2023-03-17,389.989990234375,option_trading,0.1670519033331892,0.256296936472549,0.16953664354695533
2023-03-20,393.739990234375,option_trading,0.16999721773806906,0.22247055211273775,0.17194355494286526
2023-03-22,392.1099853515625,option_trading,0.1728152899177179,0.2210191519173006,0.17193083597763908
2023-03-24,395.75,option_trading,0.17590292048280964,0.20656182337449214,0.17312496274070294
2023-03-27,396.489990234375,option_trading,0.177097029095143,0.19777878150980416,0.1720409377678084
2023-03-29,401.3500061035156,option_trading,0.1730629908724942,0.18757640851747337,0.16801000067378596
2023-03-31,409.3900146484375,option_trading,0.1755547758043472,0.1749305228357461,0.16801750445787686
2023-04-03,410.95001220703125,option_trading,0.1804363229760204,0.12486526528698325,0.16961417865431228
2023-04-05,407.6000061035156,option_trading,0.17048709627151445,0.1593467492324613,0.16650391536707373
2023-04-07,409.19000244140625,option_trading,0.16689602023648784,0.1688010378487683,0.1637093821421356
2023-04-10,409.6099853515625,option_trading,0.16689602023648784,0.1687289760013291,0.16370937948016084
2023-04-12,408.04998779296875,option_trading,0.16614643495500536,0.16212709331089942,0.1447725801167146
2023-04-14,412.4599914550781,option_trading,0.16891514857162743,0.14167954635584906,0.144270215739382
2023-04-17,413.94000244140625,option_trading,0.1632274036937259,0.09264492526794262,0.14003738844198194
2023-04-19,414.1400146484375,option_trading,0.15575600264146203,0.14455286110122,0.12279271189703563
2023-04-21,412.20001220703125,option_trading,0.14514897713929664,0.1531180725909241,0.1457677416738098
2023-04-24,412.6300048828125,option_trading,0.13645073685057157,0.16380175969943647,0.10777658584595869
2023-04-26,404.3599853515625,option_trading,0.13943358576732093,0.16798977016318903,0.1529184707620772
2023-04-28,415.92999267578125,option_trading,0.14114249744382434,0.1409583924941936,0.13699262771282333
2023-05-01,415.510009765625,option_trading,0.13269125002040405,0.09266047450308927,0.13581642943696692
2023-05-03,408.0199890136719,option_trading,0.13201373598525962,0.137885104572126,0.1344465100389944
2023-05-05,412.6300048828125,option_trading,0.12479583824998278,0.16020155918406778,0.13628385279977662
2023-05-08,412.739990234375,option_trading,0.13399448796311794,0.2017540038128956,0.14533171306036835
2023-05-10,412.8500061035156,option_trading,0.13470333355715083,0.1387536568447054,0.12976459906542506
2023-05-12,411.5899963378906,option_trading,0.12846462787920337,0.1505653314552236,0.13393643819834553
2023-05-15,413.010009765625,option_trading,0.12198042034912081,0.21840134431307875,0.12611134558345372
2023-05-17,415.2300109863281,option_trading,0.12241786870345954,0.13939516844604197,0.12216952798653472
2023-05-19,418.6199951171875,option_trading,0.12941254447106082,0.14732924545323994,0.1294375971792168
2023-05-22,418.7900085449219,option_trading,0.1295864571777835,0.15099658224904208,0.12170086106860543
2023-05-24,411.0899963378906,option_trading,0.1336775614741119,0.1507178444968136,0.12122819310709763
2023-05-26,420.0199890136719,option_trading,0.13210637252774857,0.1699851863691025,0.1254076403369215
2023-05-29,420.0199890136719,option_trading,0.13700184988047398,0.08936821578595008,0.122959859459789
2023-06-02,427.9200134277344,option_trading,0.1395342222265804,0.09589671051191187,0.12412870203482075
2023-06-07,426.54998779296875,option_trading,0.13563786102972772,0.17967226436920058,0.11799209010340889
2023-06-09,429.8999938964844,option_trading,0.12467317051568838,0.16897473482388256,0.1198012255066158
2023-06-12,433.79998779296875,option_trading,0.12277500662400663,0.1804461446934566,0.11221847243573346
2023-06-14,437.17999267578125,option_trading,0.11926081172275424,0.15897578051918954,0.11073894956620876
2023-06-16,439.4599914550781,option_trading,0.11595293964818376,0.19689640419207047,0.11561264698174754
2023-06-19,439.4599914550781,option_trading,0.10986286771044985,0.12301812977236763,0.11047124339470533
2023-06-21,434.94000244140625,option_trading,0.11188055471843807,0.12045745953523616,0.10961384866970819
2023-06-23,433.2099914550781,option_trading,0.11209577675417742,0.07438860712728207,0.11216859743919462
2023-06-26,431.44000244140625,option_trading,0.1150993370438314,0.11827742936305416,0.10707767840077881
2023-06-28,436.3900146484375,option_trading,0.11914237714411018,0.12250024709742467,0.1069528533714647
2023-06-30,443.2799987792969,option_trading,0.11248355342601948,0.07799295853398744,0.10862788712833078
2023-07-05,443.1300048828125,option_trading,0.11354150662936977,0.10872903836620407,0.10285254506791866
2023-07-07,438.54998779296875,option_trading,0.11074175758026315,0.08674769635982726,0.10717725757329197
2023-07-10,439.6600036621094,option_trading,0.1079908898586496,0.12325338462907824,0.10032695874549694
2023-07-12,446.0199890136719,option_trading,0.10188145082626707,0.13116727090018143,0.09763235992260066
2023-07-14,449.2799987792969,option_trading,0.10208292758836258,0.11641066437610202,0.10238403410098593
