Model,Total Return (%),Annualized Return (%),Sharpe Ratio,Max Drawdown (%),Win Rate (%),Volatility (%),Calmar Ratio
XGB,14.589836687907134,2.385115625651979,-0.026774562413315148,-16.737512057346713,61.13837095191364,5.980584330552544,0.1425012043295326
historical,-3.331598299742432,-0.5847307349914566,-0.48304944507368935,-15.461210905312397,32.11991434689507,6.3851660137274475,-0.037819206954259055
GARCH,-32.63139014475555,-6.607937463201563,-1.2444079253379565,-38.12443947590675,14.258734655335223,7.445455647310019,-0.17332549813296372
