Model,Total Return (%),Annualized Return (%),Sharpe Ratio,Max Drawdown (%),Win Rate (%),Volatility (%),Calmar Ratio
XGB,6.101370002260106,1.0303157032514942,0.186807644357265,-13.686760330138359,62.869955156950674,6.7059839708352,0.07527827465369805
historical,-36.47055177685149,-7.551571388331735,-0.9057975926969777,-37.33924429037738,50.67750677506775,8.28733707863133,-0.20224221276695292
GARCH,-47.9019275128256,-10.671845124079592,-1.1188227539314548,-54.67913466871458,44.70588235294118,9.67154544846165,-0.19517216555706826
