date,equity,cash,num_positions
2023-02-22,100000.0,100000.0,0
2023-02-23,100000.0,100000.0,0
2023-02-24,100000.0,100000.0,0
2023-02-27,100000.0,100000.0,0
2023-02-28,100000.0,100000.0,0
2023-03-01,100000.0,100000.0,0
2023-03-02,100000.0,100000.0,0
2023-03-03,99997.26578531232,117109.41266198999,3
2023-03-06,99992.70382177737,121615.82270784845,5
2023-03-07,100028.85689540658,101960.9649716612,5
2023-03-08,99991.3891721079,121282.92533086907,5
2023-03-09,99798.26242037112,89178.01568613408,5
2023-03-10,100020.52100249025,114860.32348695344,5
2023-03-13,100000.48254823728,87370.26321838006,5
2023-03-14,99692.49184739785,117928.1981550405,5
2023-03-15,99596.46615562959,84355.91301174503,5
2023-03-16,99191.11704057358,121964.99223731583,5
2023-03-17,98812.25380358861,86955.32960744697,5
2023-03-20,98434.15723388216,122723.06955852482,4
2023-03-21,98499.4005211795,92794.43084232356,4
2023-03-22,98752.64762827079,113032.36511353179,4
2023-03-23,98764.5862321673,93159.47259727334,4
2023-03-24,98654.30912600658,114798.01321768663,4
2023-03-27,98667.64301824162,89740.84579045976,4
2023-03-28,98696.8580156998,112243.33279606793,4
2023-03-29,98736.21307240901,95431.89798880095,4
2023-03-30,98637.0996563282,114889.19152044853,4
2023-03-31,98768.03156727047,81840.67083867878,1
2023-04-03,98699.26734886554,111990.23944231038,2
2023-04-04,98609.97112458087,83183.18693777786,2
2023-04-05,98643.45212011575,112579.85920537134,2
2023-04-06,98702.11137023766,82904.87162830975,2
2023-04-07,98699.09933504742,113022.2114954548,2
2023-04-10,98711.61152876716,83712.67135790401,2
2023-04-11,98704.74879366839,113303.92940118678,2
2023-04-12,98642.05164548068,84098.6988361352,2
2023-04-13,98455.96369534005,112497.66439596556,2
2023-04-14,98414.77124281999,95661.88763178737,5
2023-04-17,98411.70067433912,114789.02007879686,5
2023-04-18,98411.21244960984,95858.20949313109,5
2023-04-19,98412.14264620007,114629.98953410843,5
2023-04-20,98380.76924861467,92665.32106026929,5
2023-04-21,98365.33389274168,114975.49606495185,5
2023-04-24,98367.9945011651,93340.9277263397,5
2023-04-25,98539.06211664391,108842.81826137356,5
2023-04-26,98514.40430541498,92699.02043246217,5
2023-04-27,98162.75033687026,115662.65700479198,5
2023-04-28,98101.49699022702,104508.11291409109,5
2023-05-01,98136.59640389966,112346.1977753399,5
2023-05-02,98140.04678599721,98168.30704991755,5
2023-05-03,98215.2722194118,108854.0822395227,5
2023-05-04,98196.90017369298,95409.87793928394,5
2023-05-05,97868.53100813273,115424.40147478427,5
2023-05-08,97867.36895714831,93662.41083131151,5
2023-05-09,97933.4071763211,112964.55915865746,5
2023-05-10,97942.09604000842,95293.85152610931,5
2023-05-11,97965.13043904881,111688.59413043407,5
2023-05-12,97941.49289860645,94212.86330887114,4
2023-05-15,97915.12802187685,135643.0364073702,5
2023-05-16,97841.72323410609,87134.73747573415,5
2023-05-17,97239.72026777483,146422.93755623786,5
2023-05-18,97224.77597943446,97764.11959398392,5
2023-05-19,97288.11640777046,143367.98574728277,5
2023-05-22,97284.40829299996,93657.73624339805,5
2023-05-23,97606.79137400379,125776.04213726177,5
2023-05-24,97503.95613167301,83475.03572702096,5
2023-05-25,97213.23151002434,130016.18160889245,5
2023-05-26,97192.46006681488,86687.70828891898,3
2023-05-29,97186.6510854706,118217.9209796491,5
2023-05-30,97187.88842939588,85014.47454644024,5
2023-05-31,97284.74063050703,114985.85551929938,5
2023-06-01,97399.89318097838,84636.78846633232,5
2023-06-02,96958.177833364,103759.37067343596,5
2023-06-05,96937.75166925447,87305.23079772027,5
2023-06-06,96925.7103702794,101943.4372831569,5
2023-06-07,96900.36423728245,90086.61159876721,5
2023-06-08,96920.44333390244,93670.60228279339,5
2023-06-09,96845.30468460856,133171.88937733578,5
2023-06-12,96786.22681975296,102814.37757699595,5
2023-06-13,96494.58315251749,140244.96419837582,5
2023-06-14,96481.76363764903,104007.93340388052,5
2023-06-15,95808.24028105856,150225.4188357631,5
2023-06-16,95857.11611268502,93948.83817143885,5
2023-06-19,95851.44081291839,150696.16053806042,5
2023-06-20,95782.48296141773,83583.34139122374,5
2023-06-21,95996.01137935331,138255.0993913107,5
2023-06-22,96011.8570551742,90001.30624312034,5
2023-06-23,96081.69168593026,113425.15095301402,5
2023-06-26,96043.71662940446,87274.06216224833,5
2023-06-27,95748.39635256227,122505.44655889008,5
2023-06-28,95749.01990279405,87398.63828695117,5
2023-06-29,95632.19414843115,124299.45603695259,5
2023-06-30,95634.7637673672,90580.84676098036,5
2023-07-03,95599.38345999915,123461.93885570392,5
2023-07-05,95583.22441242987,87111.77832910512,5
2023-07-06,95748.96680367082,117066.11473378722,5
2023-07-07,95689.38321698629,83877.89776202942,5
2023-07-10,95632.19611327394,117014.01621240798,5
2023-07-11,95711.94155113329,82610.2983799349,5
2023-07-12,95582.11139563874,111529.23831423746,5
