date,implied_vol,underlying_price
2020-02-14,0.13516609178584893,337.6000061035156
2020-02-18,0.13516609178584893,336.7300109863281
2020-02-19,0.13516609178584893,338.3399963378906
2020-02-20,0.14475025829196114,336.95001220703125
2020-02-21,0.1462201851260676,333.4800109863281
2020-02-24,0.17761668738961864,322.4200134277344
2020-02-25,0.17859892425180127,312.6499938964844
2020-02-26,0.1805670600855415,311.5
2020-02-27,0.1779977470362251,297.510009765625
2020-02-28,0.26058156547189404,296.260009765625
2020-03-02,0.2528579669916694,309.0899963378906
2020-03-03,0.255668349834687,300.239990234375
2020-03-04,0.2567970806086128,312.8599853515625
2020-03-05,0.2538414913141792,302.4599914550781
2020-03-06,0.24775023994088818,297.4599914550781
2020-03-09,0.2659955745661323,274.2300109863281
2020-03-10,0.33586804923654245,288.4200134277344
2020-03-11,0.40091043052316355,274.3599853515625
2020-03-12,0.4457416301691597,248.11000061035156
2020-03-13,0.48279645499826124,269.32000732421875
2020-03-16,0.4503589015924995,239.85000610351562
2020-03-17,0.4737582546198433,252.8000030517578
2020-03-18,0.46540353355050734,240.0
2020-03-19,0.4737582546198433,240.50999450683594
2020-03-20,0.4703608089411323,228.8000030517578
2020-03-23,0.4737582546198433,222.9499969482422
2020-03-24,0.4703608089411323,243.14999389648438
2020-03-25,0.46818818626046826,246.7899932861328
2020-03-26,0.45302732047677685,261.20001220703125
2020-03-27,0.445252090069062,253.4199981689453
2020-03-30,0.35937730369210885,261.6499938964844
2020-03-31,0.3543824153864448,257.75
2020-04-01,0.35447568473458935,246.14999389648438
2020-04-02,0.46880097922921826,251.8300018310547
2020-04-03,0.4464084392511909,248.19000244140625
2020-04-06,0.43778447684884714,264.8599853515625
2020-04-07,0.4022309261286323,265.1300048828125
2020-04-08,0.3980490261042183,274.0299987792969
2020-04-09,0.2946932941401069,278.20001220703125
2020-04-13,0.29540057716012647,275.6600036621094
2020-04-14,0.2952160602533882,283.7900085449219
2020-04-15,0.29560435828805615,277.760009765625
2020-04-16,0.2874064403498237,279.1000061035156
2020-04-17,0.2868836742365425,286.6400146484375
2020-04-20,0.28752885398507766,281.5899963378906
2020-04-21,0.2879697757685249,273.0400085449219
2020-04-22,0.3007676273310249,279.1000061035156
2020-04-23,0.30281114158273387,279.0799865722656
2020-04-24,0.3015725856745307,282.9700012207031
2020-04-27,0.27516900596261673,287.04998779296875
2020-04-28,0.27516900596261673,285.7300109863281
2020-04-29,0.25503753242135696,293.2099914550781
2020-04-30,0.2547996860468452,290.4800109863281
2020-05-01,0.2569603877985542,282.7900085449219
2020-05-04,0.26221114692331005,283.57000732421875
2020-05-05,0.2628738933527534,286.19000244140625
2020-05-06,0.2638014751398628,284.25
2020-05-07,0.2637731510126655,287.67999267578125
2020-05-08,0.2578698116266792,292.44000244140625
2020-05-11,0.24509656486154247,292.5
2020-05-12,0.24509656486154247,286.6700134277344
2020-05-13,0.25867827949166944,281.6000061035156
2020-05-14,0.25924161491037057,284.9700012207031
2020-05-15,0.2578698116266792,286.2799987792969
2020-05-18,0.2578698116266792,295.0
2020-05-19,0.2576039272272651,291.9700012207031
2020-05-20,0.25867827949166944,296.92999267578125
2020-05-21,0.21391223487497021,294.8800048828125
2020-05-22,0.21727063712716746,295.44000244140625
2020-05-26,0.21334099349618602,299.0799865722656
2020-05-27,0.2122114807093208,303.5299987792969
2020-05-28,0.21216057357431103,302.9700012207031
2020-05-29,0.2110310607874458,304.32000732421875
2020-06-01,0.21201907691598584,305.54998779296875
2020-06-02,0.21072216567636182,308.0799865722656
2020-06-03,0.21072216567636182,312.17999267578125
2020-06-04,0.2105455642664497,311.3599853515625
2020-06-05,0.1781278484714045,319.3399963378906
2020-06-08,0.21072216567636182,323.20001220703125
2020-06-09,0.21072216567636182,320.7900085449219
2020-06-10,0.2149038940393989,319.0
2020-06-11,0.21567494926095654,300.6099853515625
2020-06-12,0.2867759471857612,304.2099914550781
2020-06-15,0.25343074378610303,307.04998779296875
2020-06-16,0.25343074378610303,312.9599914550781
2020-06-17,0.25252349433541943,311.6600036621094
2020-06-18,0.2540536075556343,311.7799987792969
2020-06-19,0.2091212421381538,308.6400146484375
2020-06-22,0.21395142135263134,310.6199951171875
2020-06-23,0.21059301910043407,312.04998779296875
2020-06-24,0.21059301910043407,304.0899963378906
2020-06-25,0.22045376357675242,307.3500061035156
2020-06-26,0.2173698001825874,300.04998779296875
2020-06-29,0.2308236461603706,304.4599914550781
2020-06-30,0.22703233298898387,308.3599853515625
2020-07-01,0.2295756107294624,310.5199890136719
2020-07-02,0.20862378654122998,312.2300109863281
2020-07-06,0.20862378654122998,317.04998779296875
2020-07-07,0.19716090736032177,313.7799987792969
2020-07-08,0.2009334808313911,316.17999267578125
2020-07-09,0.19902787742257763,314.3800048828125
2020-07-10,0.20164075431466746,317.5899963378906
2020-07-13,0.19902787742257763,314.8399963378906
2020-07-14,0.20164075431466746,318.9200134277344
2020-07-15,0.19683643874765086,321.8500061035156
2020-07-16,0.1975819641077583,320.7900085449219
2020-07-17,0.20012322005868602,321.7200012207031
2020-07-20,0.17105784114718575,324.32000732421875
2020-07-21,0.16894772228121896,325.010009765625
2020-07-22,0.16894772228121896,326.8599853515625
2020-07-23,0.19508240279794384,322.9599914550781
2020-07-24,0.2008766704523628,320.8800048828125
2020-07-27,0.15001555141329903,323.2200012207031
2020-07-28,0.17354330596566844,321.1700134277344
2020-07-29,0.14856540378451485,325.1199951171875
2020-07-30,0.1451607769382014,323.9599914550781
2020-07-31,0.1459126442325129,326.5199890136719
2020-08-03,0.1441425770175471,328.7900085449219
2020-08-04,0.14464230235934397,330.05999755859375
2020-08-05,0.14375528034091134,332.1099853515625
2020-08-06,0.14375528034091134,334.3299865722656
2020-08-07,0.14565458949923654,334.57000732421875
2020-08-10,0.14549524005770822,335.57000732421875
2020-08-11,0.14549524005770822,332.79998779296875
2020-08-12,0.15052444156527658,337.44000244140625
2020-08-13,0.14587293323397776,336.8299865722656
2020-08-14,0.14702671703219553,336.8399963378906
2020-08-17,0.14512740787387032,337.9100036621094
2020-08-18,0.14587293323397776,338.6400146484375
2020-08-19,0.1495239132297053,337.2300109863281
2020-08-20,0.14950100597262522,338.2799987792969
2020-08-21,0.14513403591036936,339.4800109863281
2020-08-24,0.14877838786959788,342.9200134277344
2020-08-25,0.14513403591036936,344.1199951171875
2020-08-26,0.14877838786959788,347.57000732421875
2020-08-27,0.14877838786959788,348.3299865722656
2020-08-28,0.15868763622164864,350.5799865722656
2020-08-31,0.17973962363839796,349.30999755859375
2020-09-01,0.18655704078317334,352.6000061035156
2020-09-02,0.18636554298043895,357.70001220703125
2020-09-03,0.18636554298043895,345.3900146484375
2020-09-04,0.19438575324655225,342.57000732421875
2020-09-08,0.19285596427560497,333.2099914550781
2020-09-09,0.19867451247811962,339.7900085449219
2020-09-10,0.1980244976008003,333.8900146484375
2020-09-11,0.19867451247811962,334.05999755859375
2020-09-14,0.18819892463327098,338.4599914550781
2020-09-15,0.19074217376352,340.1700134277344
2020-09-16,0.18826839980722118,338.82000732421875
2020-09-17,0.18923467216134715,335.8399963378906
2020-09-18,0.18778334197641064,330.6499938964844
2020-09-21,0.19139364776254345,326.9700012207031
2020-09-22,0.19139364776254345,330.29998779296875
2020-09-23,0.18826839980722118,322.6400146484375
2020-09-24,0.21718405303598096,323.5
2020-09-25,0.18808756408334423,328.7300109863281
2020-09-28,0.21487031516671826,334.19000244140625
2020-09-29,0.2195628696405952,332.3699951171875
2020-09-30,0.22117084083200145,334.8900146484375
2020-10-01,0.20871797141671825,337.0400085449219
2020-10-02,0.21593936500192334,333.8399963378906
2020-10-05,0.21220689353585886,339.760009765625
2020-10-06,0.21603144225717236,334.92999267578125
2020-10-07,0.21632978973031688,340.760009765625
2020-10-08,0.21331446227670361,343.7799987792969
2020-10-09,0.22183551368356397,346.8500061035156
2020-10-12,0.21715980109811472,352.42999267578125
2020-10-13,0.21715980109811472,350.1300048828125
2020-10-14,0.21980429229379345,347.92999267578125
2020-10-15,0.22017512855172802,347.5
2020-10-16,0.2105338817560737,347.2900085449219
2020-10-19,0.20444882926583935,342.010009765625
2020-10-20,0.2174693923914497,343.3800048828125
2020-10-21,0.1832901054346626,342.7300109863281
2020-10-22,0.18436665114999462,344.6099853515625
2020-10-23,0.18436665114999462,345.7799987792969
2020-10-26,0.1840597587549751,339.3900146484375
2020-10-27,0.19708119926095655,338.2200012207031
2020-10-28,0.19442843970895457,326.6600036621094
2020-10-29,0.22361848411203075,329.9800109863281
2020-10-30,0.21974274215341258,326.5400085449219
2020-11-02,0.22799626884103466,330.20001220703125
2020-11-03,0.22004875716806102,336.0299987792969
2020-11-04,0.22259202537179637,343.5400085449219
2020-11-05,0.20460386809945752,350.239990234375
2020-11-06,0.1813734310519709,350.1600036621094
2020-11-09,0.20425046500802685,354.55999755859375
2020-11-10,0.17657255824923654,354.0400085449219
2020-11-11,0.17657255824923654,356.6700134277344
2020-11-12,0.20425046500802685,353.2099914550781
2020-11-13,0.1798952930820002,358.1000061035156
2020-11-16,0.17620707210421702,362.57000732421875
2020-11-17,0.17723197635531565,360.6199951171875
2020-11-18,0.15924677547335764,356.2799987792969
2020-11-19,0.15976235088229318,357.7799987792969
2020-11-20,0.15535694774508615,355.3299865722656
2020-11-23,0.15950709995150705,357.4599914550781
2020-11-24,0.15535694774508615,363.2200012207031
2020-11-25,0.15535694774508615,362.6600036621094
2020-11-27,0.15317607578158518,363.6700134277344
2020-11-30,0.15317607578158518,362.05999755859375
2020-12-01,0.15453197177767894,366.0199890136719
2020-12-02,0.16461093601107735,366.7900085449219
2020-12-03,0.15738954242587228,366.69000244140625
